,Question,Entities,Classes
0,Are Taiko some kind of Japanese musical instrument?,"[[('http://dbpedia.org/resource/Taiko', 0.008550751954317093), ('http://dbpedia.org/resource/Taiko_Katono', 0.008549424819648266), ('http://dbpedia.org/resource/Taito', 0.008549331687390804), ('http://dbpedia.org/resource/Taika_(era)', 0.008549212478101254), ('http://dbpedia.org/resource/Taiko_Hirabayashi', 0.008549205027520657)]]",[]
1,Are there any castles in the United States?,"[[('http://dbpedia.org/resource/List_of_castles_in_the_United_States', 0.008253337815403938), ('http://dbpedia.org/resource/Castle_doctrine', 0.008252871222794056), ('http://dbpedia.org/resource/Lists_of_castles_in_North_America', 0.008252866566181183), ('http://dbpedia.org/resource/Guy_W._S._Castle', 0.008252826519310474), ('http://dbpedia.org/resource/List_of_Knights_of_Pythias_buildings', 0.004889974370598793)]]",[]
2,Butch Otter is the governor of which U.S. state?,"[[('http://dbpedia.org/resource/Butch_Otter', 0.008234490640461445), ('http://dbpedia.org/resource/Butch_Leitzinger', 0.008232851512730122), ('http://dbpedia.org/resource/Lori_Otter', 0.008232730440795422), ('http://dbpedia.org/resource/Hole-in-the-Wall', 0.004885554779320955), ('http://dbpedia.org/resource/1991_Banquet_Frozen_Foods_300', 0.004880969878286123)]]",[]
3,Give me English actors starring in Lovesick.,"[[('http://dbpedia.org/resource/English_language', 0.09158699959516525), ('http://dbpedia.org/resource/English_people', 0.09158380329608917), ('http://dbpedia.org/resource/American_English', 0.09158211201429367), ('http://dbpedia.org/resource/Canadian_English', 0.09158071130514145), ('http://dbpedia.org/resource/British_English', 0.09158004820346832)], [('http://dbpedia.org/resource/Lovesick_(TV_series)', 0.007604801096022129), ('http://dbpedia.org/resource/Lovesick_(2014_film)', 0.007604741025716066), ('http://dbpedia.org/resource/Lovesick_(1983_film)', 0.007604711223393679), ('http://dbpedia.org/resource/Lovesickness', 0.007604674901813269), ('http://dbpedia.org/resource/Lovesick_(Mura_Masa_song)', 0.007604421116411686)]]",[]
4,Give me all B-sides of the Ramones.,"[[('http://dbpedia.org/resource/Ramones', 0.008739293552935123), ('http://dbpedia.org/resource/Ramones_(album)', 0.008737881667912006), ('http://dbpedia.org/resource/Joey_Ramone', 0.008737861178815365), ('http://dbpedia.org/resource/Tommy_Ramone', 0.008737814612686634), ('http://dbpedia.org/resource/The_Song_Ramones_the_Same', 0.008737803436815739)]]",[]
5,Give me all Frisian islands that belong to the Netherlands.,"[[('http://dbpedia.org/resource/Frisian_Islands', 0.00906897522509098), ('http://dbpedia.org/resource/North_Frisian_Islands', 0.009068542160093784), ('http://dbpedia.org/resource/West_Frisian_Islands', 0.009068510495126247), ('http://dbpedia.org/resource/East_Frisian_Islands', 0.00906840804964304), ('http://dbpedia.org/resource/North_Frisia', 0.009068132378160954)], [('http://dbpedia.org/resource/Netherlands', 0.03369440138339996), ('http://dbpedia.org/resource/Kingdom_of_the_Netherlands', 0.03369181230664253), ('http://dbpedia.org/resource/United_Kingdom_of_the_Netherlands', 0.0336904339492321), ('http://dbpedia.org/resource/Germany', 0.03369009494781494), ('http://dbpedia.org/resource/Spanish_Netherlands', 0.03368958458304405)]]",[]
6,Give me all cars that are produced in Germany.,"[[('http://dbpedia.org/resource/Germany', 0.03637465089559555), ('http://dbpedia.org/resource/German_language', 0.03637056052684784), ('http://dbpedia.org/resource/German_Empire', 0.03637045621871948), ('http://dbpedia.org/resource/Nazi_Germany', 0.036370258778333664), ('http://dbpedia.org/resource/West_Germany', 0.03636983409523964)]]",[]
7,Give me all chemical elements.,"[[('http://dbpedia.org/resource/Chemical_element', 0.010737784206867218), ('http://dbpedia.org/resource/Chemical_substance', 0.010737353935837746), ('http://dbpedia.org/resource/List_of_chemical_elements', 0.01073727011680603), ('http://dbpedia.org/resource/Transuranium_element', 0.010737027041614056), ('http://dbpedia.org/resource/Chemical_reaction', 0.010736959986388683)]]",[]
8,Give me all female German chancellors.,"[[('http://dbpedia.org/resource/Chancellor_of_Germany', 0.007773376535624266), ('http://dbpedia.org/resource/Chancellor_of_Germany_(1949–)', 0.007773192133754492), ('http://dbpedia.org/resource/List_of_Chancellors_of_Germany', 0.007773163728415966), ('http://dbpedia.org/resource/President_of_Germany', 0.0077730994671583176), ('http://dbpedia.org/resource/List_of_spouses_of_German_presidents_and_chancellors', 0.007773017045110464)]]",[]
9,Give me all movies with Tom Cruise.,"[[('http://dbpedia.org/resource/Tom_Cruise', 0.008127955719828606), ('http://dbpedia.org/resource/Tom_Cruise_filmography', 0.008126625791192055), ('http://dbpedia.org/resource/Thomas_Cruise_(footballer)', 0.0081265177577734), ('http://dbpedia.org/resource/Tom_Cruise:_An_Unauthorized_Biography', 0.008126311004161835), (""http://dbpedia.org/resource/Tom_Cruise:_All_the_World's_a_Stage"", 0.008126266300678253)]]",[]
10,Give me all professional skateboarders from Sweden.,"[[('http://dbpedia.org/resource/Sweden', 0.04081495851278305), ('http://dbpedia.org/resource/Church_of_Sweden', 0.04080933704972267), ('http://dbpedia.org/resource/Liberals_(Sweden)', 0.024184076115489006), ('http://dbpedia.org/resource/Gustav_I_of_Sweden', 0.024181120097637177), ('http://dbpedia.org/resource/Charles_VIII_of_Sweden', 0.02418014034628868)], [('http://dbpedia.org/resource/Skateboarding', 0.00965933222323656), ('http://dbpedia.org/resource/Street_skateboarding', 0.009658589959144592), ('http://dbpedia.org/resource/Skateboarder_(magazine)', 0.009658063761889935), ('http://dbpedia.org/resource/List_of_pro_skaters', 0.009657965041697025), ('http://dbpedia.org/resource/Fingerboard_(skateboard)', 0.00965791940689087)]]",[]
11,Give me all writers that won the Nobel Prize in literature.,"[[('http://dbpedia.org/resource/Nobel_Prize_in_Literature', 0.007830369286239147), ('http://dbpedia.org/resource/List_of_Nobel_laureates_in_Literature', 0.007829585112631321), ('http://dbpedia.org/resource/Neustadt_International_Prize_for_Literature', 0.00782945565879345), ('http://dbpedia.org/resource/Nobel_Prize', 0.007829328067600727), ('http://dbpedia.org/resource/Nobel_Peace_Prize', 0.00782918743789196)]]",[]
12,Give me the capitals of all countries in Africa.,"[[('http://dbpedia.org/resource/Africa', 0.008393130265176296), ('http://dbpedia.org/resource/List_of_African_countries_by_area', 0.008392882533371449), ('http://dbpedia.org/resource/List_of_fictional_African_countries', 0.008392872288823128), ('http://dbpedia.org/resource/List_of_World_Heritage_Sites_in_Africa', 0.008392778225243092), ('http://dbpedia.org/resource/Sub-Saharan_Africa', 0.008392763324081898)]]",[]
